date,Luminar Technologies,Ouster Inc,AEVA Technologies,Innoviz Technologies,isPartial
2024-08-11,27,0,0,6,False
2024-08-18,25,0,0,0,False
2024-08-25,17,0,0,0,False
2024-09-01,18,0,0,4,False
2024-09-08,22,0,0,0,False
2024-09-15,21,0,0,0,False
2024-09-22,24,0,0,0,False
2024-09-29,24,0,4,0,False
2024-10-06,22,0,0,0,False
2024-10-13,20,0,0,0,False
2024-10-20,17,0,0,0,False
2024-10-27,20,0,0,0,False
2024-11-03,23,4,4,0,False
2024-11-10,40,0,0,0,False
2024-11-17,57,0,0,0,False
2024-11-24,28,0,0,0,False
2024-12-01,23,5,0,6,False
2024-12-08,22,0,0,5,False
2024-12-15,24,0,5,6,False
2024-12-22,18,0,0,11,False
2024-12-29,22,0,0,0,False
2025-01-05,64,0,0,14,False
2025-01-12,100,0,0,6,False
2025-01-19,24,0,0,10,False
2025-01-26,25,0,0,7,False
2025-02-02,23,0,0,12,False
2025-02-09,24,5,0,13,False
2025-02-16,22,4,0,11,False
2025-02-23,18,0,4,8,False
2025-03-02,18,5,0,5,False
2025-03-09,18,0,0,5,False
2025-03-16,62,5,6,0,False
2025-03-23,34,5,5,6,False
2025-03-30,13,0,4,4,False
2025-04-06,19,5,0,0,False
2025-04-13,20,0,0,5,False
2025-04-20,10,0,0,0,False
2025-04-27,16,0,0,6,False
2025-05-04,11,0,4,0,False
2025-05-11,27,0,16,9,False
2025-05-18,20,0,11,5,False
2025-05-25,17,0,6,0,False
2025-06-01,17,5,9,5,False
2025-06-08,19,9,13,5,False
2025-06-15,21,9,14,11,False
2025-06-22,22,0,25,9,False
2025-06-29,20,0,30,7,False
2025-07-06,19,5,21,6,False
2025-07-13,25,10,16,11,False
2025-07-20,24,5,18,15,False
2025-07-27,31,8,27,16,False
2025-08-03,38,18,35,32,False
2025-08-10,77,22,34,76,True
